[2025-02-14 15:59:43] ERROR: Promesa no manejada: TypeError: Cannot read properties of undefined (reading 'id')
[2025-02-14 23:07:42] ERROR: [POST] /api/auth/register - invalid csrf token
[2025-02-14 23:08:11] ERROR: [POST] /api/auth/register - invalid csrf token
[2025-02-18 18:49:06] ERROR: Promesa no manejada: TypeError: Cannot read properties of undefined (reading 'id')
[2025-02-18 19:15:03] ERROR: Promesa no manejada: TypeError: Cannot read properties of undefined (reading 'id')
[2025-04-25 00:02:58] ERROR: Promesa no manejada: ReferenceError: info is not defined
[2025-05-03 16:08:34] ERROR: [GET] /api/mesas - secret option required for sessions
[2025-05-03 16:08:34] ERROR: [GET] /api/cart?numeroMesa=null - secret option required for sessions
[2025-05-03 16:08:34] ERROR: [GET] /api/productos - secret option required for sessions
[2025-05-03 16:08:34] ERROR: [GET] /api/valoraciones/valoraciones/mas-valorados - secret option required for sessions
[2025-05-03 16:08:34] ERROR: [GET] /api/mesas - secret option required for sessions
[2025-05-03 16:08:34] ERROR: [GET] /api/cart?numeroMesa=null - secret option required for sessions
[2025-05-03 16:08:34] ERROR: [GET] /api/productos - secret option required for sessions
[2025-05-03 16:08:34] ERROR: [GET] /api/valoraciones/valoraciones/mas-valorados - secret option required for sessions
[2025-05-03 16:09:17] ERROR: [GET] /api/mesas - secret option required for sessions
[2025-05-03 16:09:17] ERROR: [GET] /api/cart?numeroMesa=null - secret option required for sessions
[2025-05-03 16:09:17] ERROR: [GET] /api/valoraciones/valoraciones/mas-valorados - secret option required for sessions
[2025-05-03 16:09:17] ERROR: [GET] /api/productos - secret option required for sessions
[2025-05-03 16:09:17] ERROR: [GET] /api/mesas - secret option required for sessions
[2025-05-03 16:09:17] ERROR: [GET] /api/cart?numeroMesa=null - secret option required for sessions
[2025-05-03 16:09:17] ERROR: [GET] /api/valoraciones/valoraciones/mas-valorados - secret option required for sessions
[2025-05-03 16:09:17] ERROR: [GET] /api/productos - secret option required for sessions
[2025-05-03 16:09:28] ERROR: [GET] /api/mesas - secret option required for sessions
[2025-05-03 16:09:28] ERROR: [GET] /api/cart?numeroMesa=null - secret option required for sessions
[2025-05-03 16:09:28] ERROR: [GET] /api/productos - secret option required for sessions
[2025-05-03 16:09:28] ERROR: [GET] /api/valoraciones/valoraciones/mas-valorados - secret option required for sessions
[2025-05-03 16:09:28] ERROR: [GET] /api/mesas - secret option required for sessions
[2025-05-03 16:09:28] ERROR: [GET] /api/cart?numeroMesa=null - secret option required for sessions
[2025-05-03 16:09:28] ERROR: [GET] /api/productos - secret option required for sessions
